ID,이름,과목,수강료,교재비,연락처,메모
39,박예원,중등수학,250000,32000,016-094-7739,중등수학반
40,김수빈,중등수학,250000,32000,010-0009-0705,
41,최성진,초등수학,150000,15000,055-571-0741,초등수학반
42,박예은,중등수학,250000,32000,043-539-7072,중등수학반
43,박지아,고등수학,400000,45000,031-941-5903,고등수학반
44,최순자,중등수학,250000,32000,062-331-5358,
45,장현준,고등수학,400000,45000,064-732-2049,고등수학반
46,류춘자,초등수학,150000,15000,064-773-6000,
47,강지은,수리논술,500000,0,061-593-0499,수리논술반
48,이지후,수리논술,500000,0,053-027-4532,
49,황은영,중등심화,300000,35000,02-2564-6901,
50,한영환,고등수학,400000,45000,070-0356-3312,
51,나민준,중등심화,300000,35000,041-311-4361,
52,김영순,초등수학,150000,15000,016-886-7807,
53,윤재호,중등수학,250000,32000,044-553-1476,
54,김경자,중등심화,300000,35000,033-558-4965,중등심화반
55,이서현,고등수학,400000,45000,031-190-5768,고등수학반
56,김준영,초등수학,150000,15000,033-987-2340,초등수학반
57,조지아,고등수학,400000,45000,043-581-3124,
58,김현정,고등수학,400000,45000,043-492-6194,고등수학반
59,송채원,수리논술,500000,0,070-5038-1945,
60,하은서,수리논술,500000,0,019-455-7169,
61,이지후,중등수학,250000,32000,043-861-3674,
62,박민재,초등수학,150000,15000,055-404-9087,초등수학반
63,류정자,중등심화,300000,35000,017-744-9196,
64,이민수,수리논술,500000,0,063-503-0466,
65,김지훈,중등수학,250000,32000,041-076-4160,중등수학반
66,이현숙,초등수학,150000,15000,032-361-3699,초등수학반
67,홍도윤,중등심화,300000,35000,053-766-8655,중등심화반
68,하건우,고등수학,400000,45000,054-345-1299,고등수학반
69,하정훈,중등심화,300000,35000,051-166-1081,
70,고지훈,중등수학,250000,32000,053-192-4978,중등수학반
71,박채원,수리논술,500000,0,061-385-2407,
72,김준호,초등수학,150000,15000,018-881-0327,
73,이성진,수리논술,500000,0,063-115-4642,
74,김영길,고등수학,400000,45000,063-298-3804,
75,장현준,중등수학,250000,32000,02-5075-2583,중등수학반
76,최지후,수리논술,500000,0,011-968-2327,
77,임영순,중등심화,300000,35000,054-598-7616,중등심화반
78,김정숙,고등수학,400000,45000,033-108-4185,
79,허정남,고등수학,400000,45000,032-735-1561,
80,박영미,고등수학,400000,45000,017-729-8129,고등수학반
81,하민수,중등수학,250000,32000,017-078-2577,중등수학반
82,김미경,초등수학,150000,15000,070-2130-2187,초등수학반
83,이정호,수리논술,500000,0,033-918-5476,수리논술반
84,김진우,중등심화,300000,35000,032-336-0048,
85,박수빈,중등심화,300000,35000,011-299-3820,
86,조지아,고등수학,400000,45000,062-809-3112,고등수학반
87,오순옥,중등수학,250000,32000,02-0055-8450,중등수학반
88,김선영,중등수학,250000,32000,063-426-7392,
89,송영환,중등수학,250000,32000,051-248-2183,중등수학반
90,김정식,중등수학,250000,32000,031-096-5151,중등수학반
91,송예진,중등수학,250000,32000,063-262-2668,
92,최예준,고등수학,400000,45000,052-035-1064,고등수학반
93,김재호,중등수학,250000,32000,070-4994-8959,중등수학반
94,김준호,초등수학,150000,15000,070-4354-8413,초등수학반
95,고명숙,수리논술,500000,0,055-914-2147,
96,김명자,고등수학,400000,45000,032-845-6749,
97,김도현,중등수학,250000,32000,011-356-0354,
98,김현우,초등수학,150000,15000,070-0232-1304,초등수학반
99,김수빈,중등수학,250000,32000,031-180-2127,
100,김지연,중등심화,300000,35000,064-763-5540,중등심화반
